Date,Neighborhood,Confirmed,ZIP_CODE
2020-05-06,N13: COLUMBIA HEIGHTS,306,20010.0
2020-05-06,N1: 16th ST HEIGHTS,281,20011.0
2020-05-06,N7: BRIGHTWOOD,255,20011.0
2020-05-06,N12: CHINATOWN,252,20001.0
2020-05-06,N31: LOGAN CIRCLE/SHAW,193,20005.0
2020-05-06,N37: NAYLOR/HILLCREST,191,20020.0
2020-05-06,N45: TRINIDAD,190,20002.0
2020-05-06,N8: BRIGHTWOOD PARK,171,20011.0
2020-05-06,N30: LINCOLN HEIGHTS,167,20019.0
2020-05-06,N21: FORT LINCOLN/GATEWAY,166,20018.0
2020-05-06,N42: STADIUM ARMORY,160,20009.0
2020-05-06,N34: MOUNT PLEASANT,159,20010.0
2020-05-06,N38: PETWORTH,155,20011.0
2020-05-06,N33: MICHIGAN PARK,141,20017.0
2020-05-06,N32: MARSHALL HEIGHTS,134,20019.0
2020-05-06,N39: SAINT ELIZABETHS,130,20032.0
2020-05-06,N46: TWINING,129,20020.0
2020-05-06,N20: FORT DUPONT,125,20019.0
2020-05-06,N29: LAMOND RIGGS,123,20011.0
2020-05-06,N14: CONGRESS HEIGHTS/SHIPLEY,116,20032.0
2020-05-06,N26: HISTORIC ANACOSTIA,114,20373.0
2020-05-06,N41: SOUTH COLUMBIA HEIGHTS,110,20009.0
2020-05-06,N44: TENLEYTOWN,107,20016.0
2020-05-06,N40: SHEPHERD PARK,106,20012.0
2020-05-06,N18: EDGEWOOD,105,20002.0
2020-05-06,N47: U ST/PLEASANT,103,20001.0
2020-05-06,N4: BELLEVUE,101,20043.0
2020-05-06,N17: EASTLAND GARDENS,101,20019.0
2020-05-06,N6: BRENTWOOD,99,20018.0
2020-05-06,N16: DOUGLASS,96,20020.0
2020-05-06,N43: SW/WATERFRONT,94,20024.0
2020-05-06,N2: ADAMS MORGAN,91,20009.0
2020-05-06,N48: UNION STATION,83,20002.0
2020-05-06,N5: BLOOMINGDALE,81,20001.0
2020-05-06,N27: KENT/PALISADES,72,20016.0
2020-05-06,N28: KINGMAN PARK,68,20002.0
2020-05-06,N23: GEORGETOWN EAST,63,20007.0
2020-05-06,N24: GWU,58,20052.0
2020-05-06,N10: CATHEDRAL HEIGHTS,52,20016.0
