INDEX NUMBER,YEAR,CENSUS TRACT,COUNTY NAME,POPULATION,POVERTY RATE,RENTER OCCUPIED HOUSEHOLDS,PCT RENTER OCCUPIED,MEDIAN HOUSEHOLD INCOME,PCT WHITE,PCT AF AM,PCT HISPANIC,PCT AM IND,PCT ASIAN,PCT NH PI,PCT MULTIPLE,PCT OTHER,EVICTION FILINGS,EVICTIONS,EVICTION RATE,EVICTION FILING RATE,LOW FLAG,IMPUTED,SYMBOL
1074,2006,1.0,"WASHINGTON,DC",4701.0,1.74,1257.0,47.67,122455.0,85.07,1.72,9.4,1.68,1.7,0.0,0.43,0.0,85.0,0.0,0.0,6.76,0,0,dc
1075,2006,2.01,"WASHINGTON,DC",3598.0,0.0,6.0,12.5,119722.0,80.74,3.14,5.86,0.0,9.87,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0,0,dc
1076,2006,2.02,"WASHINGTON,DC",4080.0,0.0,870.0,38.85,119688.0,88.92,1.86,2.94,0.0,4.46,0.0,0.96,0.86,61.0,0.0,0.0,7.01,0,0,dc
1077,2006,3.0,"WASHINGTON,DC",5168.0,0.0,1476.0,44.77,91804.0,83.42,1.74,9.33,1.08,3.72,0.0,0.72,0.0,67.0,5.0,0.34,4.54,0,0,dc
1078,2006,4.0,"WASHINGTON,DC",1379.0,0.0,209.0,27.75,176494.0,81.36,1.38,14.94,0.0,2.32,0.0,0.0,0.0,14.0,0.0,0.0,6.69,0,0,dc
1079,2006,5.01,"WASHINGTON,DC",3126.0,9.14,1582.0,75.99,92109.0,80.01,2.98,8.7,0.61,6.05,0.0,1.66,0.0,92.0,8.0,0.51,5.81,0,0,dc
1080,2006,5.02,"WASHINGTON,DC",3129.0,2.97,877.0,46.72,94598.0,75.87,2.52,7.54,0.0,11.98,0.0,2.08,0.0,87.0,0.0,0.0,9.92,0,0,dc
1081,2006,6.0,"WASHINGTON,DC",5420.0,2.93,715.0,29.71,110000.0,76.4,11.01,3.36,0.46,3.58,0.33,2.68,2.18,86.0,4.0,0.56,12.03,0,0,dc
1082,2006,7.01,"WASHINGTON,DC",4284.0,0.0,1487.0,34.33,77019.0,77.87,5.88,6.54,0.0,5.77,0.0,3.13,0.82,147.0,1.0,0.07,9.89,0,0,dc
1083,2006,7.02,"WASHINGTON,DC",2899.0,8.88,1742.0,72.7,56875.0,62.47,11.59,10.04,0.0,7.49,0.0,1.21,7.21,97.0,8.0,0.46,5.57,0,0,dc
1084,2006,8.01,"WASHINGTON,DC",6605.0,4.51,1243.0,37.73,114098.0,79.33,2.26,6.68,0.0,6.13,0.0,3.92,1.68,86.0,4.0,0.32,6.92,0,0,dc
1085,2006,8.02,"WASHINGTON,DC",2786.0,2.25,582.0,33.43,109698.0,85.39,2.55,2.73,0.0,7.14,0.0,2.19,0.0,37.0,0.0,0.0,6.36,0,0,dc
1086,2006,9.01,"WASHINGTON,DC",7651.0,2.06,223.0,15.86,209931.0,83.92,2.35,6.63,0.68,4.6,0.0,1.71,0.1,14.0,1.0,0.45,6.27,0,0,dc
1087,2006,9.02,"WASHINGTON,DC",2278.0,1.89,121.0,6.48,162548.0,91.26,2.24,3.42,0.0,2.15,0.0,0.48,0.44,12.0,0.0,0.0,9.92,0,0,dc
1088,2006,10.01,"WASHINGTON,DC",7977.0,3.5,602.0,19.25,136121.0,79.08,3.22,6.38,0.76,5.95,0.0,3.95,0.65,31.0,1.0,0.17,5.15,0,0,dc
1089,2006,10.02,"WASHINGTON,DC",3109.0,2.13,1437.0,53.86,84310.0,56.96,14.35,11.71,0.45,14.41,0.0,1.83,0.29,208.0,7.0,0.49,14.47,0,0,dc
