OBJECTID,Countyname,ST_Name,ST_Abbr,ST_ID,FIPS,FatalityRa,Confirmedb,DeathsbyPo,PCTPOVALL_,Unemployme,Med_HH_Inc,State_Fata,DateChecke,EM_type,EM_date,EM_notes,url,Thumbnail,Confirmed,Deaths,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,Beds_Licen,Beds_Staff,Beds_ICU,Ventilator,POP_ESTIMA,POVALL_201,Unemployed,Median_Hou,Recovered,Active,State_Conf,State_Deat,State_Reco,State_Test,AgedPop,NewCases,NewDeaths,TotalPop,NonHispWhP,BlackPop,AmIndop,AsianPop,PacIslPop,OtherPop,TwoMorPop,HispPop,Wh_Alone,Bk_Alone,AI_Alone,As_Alone,NH_Alone,SO_Alone,Two_More,Not_Hisp,Age_Less15,Age_15_24,Age_25_34,Age_Over75,Agetotal,NonHisp,Age_35_64,Age_65_74,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,NewCasebyP,Shape__Area,Shape__Length
1,Autauga,Alabama,AL,1,1001,1.51079136690648,4999.91,75.5382097444291,13.8,3.6,118.9591,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01001.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,2780,42,815,1026,1498,2440,2271,85,55,6,2,55601,7587,942,59338,0,0,249524,3578,0,1625848,8050,29,0,55200,41412,10475,159,568,5,41,1012,1528,42437,10565,159,568,32,409,1030,53672,10842,7192,7064,3339,55200,1528,22052,4711,29,16,19,12,18,25,27,17,20,17,26,25,23,25,52.1573352997248,2209382006.48438,246839.865478895
2,Baldwin,Alabama,AL,1,1003,1.10236220472441,4077.57,44.9495922429847,9.8,3.6,115.4508,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01003.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,8890,98,3949,4792,7373,11410,13141,386,362,51,8,218022,21069,3393,57588,0,0,249524,3578,0,1625848,40665,70,0,208107,172768,19529,1398,1668,9,410,2972,9353,179526,19764,1522,1680,9,2034,3572,198754,37621,23497,23326,16114,208107,9353,82998,24551,70,87,130,27,103,97,107,70,68,93,105,84,77,76,32.1068516021319,5770469339.71875,728445.072447544
3,Barbour,Alabama,AL,1,1005,0.933786078098472,4734.54,44.2104417025039,30.9,5.2,68.928,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:43:21 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01005.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1178,11,422,551,841,1305,1515,74,30,5,2,24881,6788,433,34382,0,0,249524,3578,0,1625848,4634,3,0,25782,11898,12199,63,85,1,86,344,1106,12216,12266,72,96,1,778,353,24676,4517,3092,3675,1814,25782,1106,9864,2820,3,2,2,1,0,3,6,1,3,6,6,8,3,4,12.057393191592,3258643456.94141,307285.154510411
4,Bibb,Alabama,AL,1,1007,1.42140468227425,5339.29,75.8928571428571,21.8,4,92.3478,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01007.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1196,17,427,488,624,842,1280,35,25,4,1,22400,4400,344,46064,0,0,249524,3578,0,1625848,3661,8,0,22527,16801,4974,8,37,0,0,160,547,17268,5018,8,37,0,9,187,21980,3742,3005,3075,1539,22527,547,9044,2122,8,9,6,3,8,5,15,6,100,12,13,3,4,11,35.7142857142857,2310715490.67188,227886.963840211
5,Blount,Alabama,AL,1,1009,1.33466800133467,5181.54,69.1562932226833,13.2,3.5,101.0645,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01009.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,2997,40,866,1459,1776,2802,3330,25,25,6,2,57840,7527,878,50412,0,0,249524,3578,0,1625848,10233,51,0,57645,50232,820,124,198,18,174,818,5261,55054,862,141,198,18,437,935,52384,11112,6906,6786,4101,57645,5261,22608,6132,51,24,34,9,24,33,59,9,19,31,21,35,54,20,88.1742738589212,2456058260.14844,286306.840720805
6,Bullock,Alabama,AL,1,1011,2.70655270655271,6924.44,187.413691063326,42.5,4.7,58.6736,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:42:44 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01011.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,702,19,175,182,248,436,575,61,30,5,1,10138,3610,224,29267,0,0,249524,3578,0,1625848,1616,2,0,10352,2228,7893,122,56,0,2,0,51,2276,7893,122,56,0,5,0,10301,1770,1478,1120,605,10352,51,4368,1011,2,4,2,0,3,1,0,1,1,4,4,2,0,1,19.7277569540343,2261613871.75781,244911.307754774
7,Butler,Alabama,AL,1,1013,3.56536502546689,5985.77,213.414634146341,24.5,4.8,74.9083,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01013.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1178,42,557,415,753,994,1087,72,44,7,2,19680,4731,427,37365,0,0,249524,3578,0,1625848,3806,5,0,20025,10384,9027,2,231,0,0,314,67,10414,9055,2,231,0,0,323,19958,3772,2365,2424,1725,20025,67,7658,2081,5,8,12,0,9,1,6,4,1,12,7,11,3,4,25.4065040650407,2795264346.48828,218921.07804926
8,Calhoun,Alabama,AL,1,1015,1.88180404354588,5626.68,105.883073584361,19.5,4.7,91.0166,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01015.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,6430,121,2050,2323,3524,4822,6667,486,435,30,15,114277,21719,2139,45400,0,0,249524,3578,0,1625848,19386,64,0,115098,83423,23618,227,1065,9,38,2515,4203,85558,23676,353,1065,9,1701,2736,110895,20564,15399,15017,7897,115098,4203,44732,11489,64,65,61,25,103,63,52,33,40,28,82,50,62,36,56.0042703256123,2300057289.77734,263083.707732383
9,Chambers,Alabama,AL,1,1017,2.81056773468241,5292.28,148.743120630671,18.7,3.9,80.0245,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:42:44 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01017.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1779,50,702,747,1185,1686,2089,115,84,15,0,33615,6181,597,39917,0,0,249524,3578,0,1625848,6409,7,0,33826,18872,13319,97,405,0,18,347,768,19483,13319,97,405,0,175,347,33058,5777,4485,3691,2634,33826,768,13464,3775,7,4,3,1,27,23,34,5,6,6,22,21,25,23,20.8240368882939,2222371199.77734,207869.416000121
10,Cherokee,Alabama,AL,1,1019,2.321083172147,3972.03,92.1942224953903,16.3,3.6,84.465,1.43393020310671,12/01/2020 08:00:23,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01019.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1034,24,479,528,1188,1492,1934,60,45,8,1,26032,4180,415,42132,0,0,249524,3578,0,1625848,5621,5,0,25853,23730,1267,236,42,0,0,180,398,23997,1267,236,55,0,90,208,25455,4194,2986,2529,2195,25853,398,10523,3426,5,7,7,5,2,12,7,4,6,20,3,21,16,7,19.2071296865396,2275916097.33594,235526.627577957
