Date,Neighborhood,Total Positives
5/6/20,N13: COLUMBIA HEIGHTS,306
5/6/20,N1: 16th ST HEIGHTS,281
5/6/20,N7: BRIGHTWOOD,255
5/6/20,N12: CHINATOWN,252
5/6/20,N31: LOGAN CIRCLE/SHAW,193
5/6/20,N37: NAYLOR/HILLCREST,191
5/6/20,N45: TRINIDAD,190
5/6/20,N8: BRIGHTWOOD PARK,171
5/6/20,N30: LINCOLN HEIGHTS,167
5/6/20,N21: FORT LINCOLN/GATEWAY,166
5/6/20,N42: STADIUM ARMORY,160
5/6/20,N34: MOUNT PLEASANT,159
5/6/20,N38: PETWORTH,155
5/6/20,N33: MICHIGAN PARK,141
5/6/20,N32: MARSHALL HEIGHTS,134
5/6/20,N39: SAINT ELIZABETHS,130
5/6/20,N46: TWINING,129
5/6/20,N20: FORT DUPONT,125
5/6/20,N29: LAMOND RIGGS,123
5/6/20,N14: CONGRESS HEIGHTS/SHIPLEY,116
5/6/20,N26: HISTORIC ANACOSTIA,114
5/6/20,N41: SOUTH COLUMBIA HEIGHTS,110
5/6/20,N44: TENLEYTOWN,107
5/6/20,N40: SHEPHERD PARK,106
5/6/20,N18: EDGEWOOD,105
5/6/20,N47: U ST/PLEASANT,103
5/6/20,N4: BELLEVUE,101
5/6/20,N17: EASTLAND GARDENS,101
5/6/20,N6: BRENTWOOD,99
5/6/20,N16: DOUGLASS,96
5/6/20,N43: SW/WATERFRONT,94
5/6/20,N2: ADAMS MORGAN,91
5/6/20,N48: UNION STATION,83
5/6/20,N5: BLOOMINGDALE,81
5/6/20,N27: KENT/PALISADES,72
5/6/20,N28: KINGMAN PARK,68
5/6/20,N23: GEORGETOWN EAST,63
5/6/20,N24: GWU,58
5/6/20,N10: CATHEDRAL HEIGHTS,52
5/6/20,N51: WOODRIDGE,51
5/6/20,N50: WOODLEY PARK,42
5/6/20,N25: HILL EAST,42
5/6/20,N49: WASHINGTON HIGHLANDS,40
5/6/20,N19: FOREST HILLS,35
5/6/20,N9: CAPITOL HILL,33
5/6/20,N11: CHEVY CHASE,32
5/6/20,N3: BARNABY WOODS,30
5/6/20,N15: DC MEDICAL CENTER,15
5/6/20,N22: GEORGETOWN,12
5/6/20,N36: NAVAL STATION & AIR FORCE,1
5/7/20,N13: COLUMBIA HEIGHTS,312
5/7/20,N1: 16th ST HEIGHTS,292
5/7/20,N7: BRIGHTWOOD,272
5/7/20,N12: CHINATOWN,258
5/7/20,N31: LOGAN CIRCLE/SHAW,205
5/7/20,N45: TRINIDAD,197
5/7/20,N37: NAYLOR/HILLCREST,196
5/7/20,N8: BRIGHTWOOD PARK,187
5/7/20,N21: FORT LINCOLN/GATEWAY,173
5/7/20,N30: LINCOLN HEIGHTS,172
5/7/20,N34: MOUNT PLEASANT,169
5/7/20,N38: PETWORTH,168
5/7/20,N42: STADIUM ARMORY,163
5/7/20,N33: MICHIGAN PARK,149
5/7/20,N39: SAINT ELIZABETHS,138
5/7/20,N32: MARSHALL HEIGHTS,138
5/7/20,N20: FORT DUPONT,137
5/7/20,N46: TWINING,130
5/7/20,N29: LAMOND RIGGS,127
5/7/20,N14: CONGRESS HEIGHTS/SHIPLEY,125
5/7/20,N26: HISTORIC ANACOSTIA,119
5/7/20,N18: EDGEWOOD,112
5/7/20,N41: SOUTH COLUMBIA HEIGHTS,111
5/7/20,N44: TENLEYTOWN,110
5/7/20,N17: EASTLAND GARDENS,110
5/7/20,N40: SHEPHERD PARK,108
5/7/20,N47: U ST/PLEASANT,107
5/7/20,N4: BELLEVUE,105
5/7/20,N6: BRENTWOOD,102
5/7/20,N43: SW/WATERFRONT,101
5/7/20,N2: ADAMS MORGAN,97
5/7/20,N16: DOUGLASS,96
5/7/20,N48: UNION STATION,88
5/7/20,N5: BLOOMINGDALE,84
5/7/20,N27: KENT/PALISADES,73
5/7/20,N28: KINGMAN PARK,72
