GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
24001000100,2000,1,"Allegany County, Maryland",3741.02,10.17,222.0,16.04,434.0,35535.99,78300.01,33.1,96.55,2.46,0.48,0.19,0.05,0.03,0.21,0.03,0.0,0.0,0.0,0.0,1,0,0
24001000100,2001,1,"Allegany County, Maryland",3741.02,10.17,225.0,16.04,434.0,35535.99,78300.01,33.1,96.55,2.46,0.48,0.19,0.05,0.03,0.21,0.03,0.0,0.0,0.0,0.0,1,0,0
24001000100,2002,1,"Allegany County, Maryland",3741.02,10.17,227.0,16.04,434.0,35535.99,78300.01,33.1,96.55,2.46,0.48,0.19,0.05,0.03,0.21,0.03,1.0,1.0,0.44,0.44,1,0,0
24001000100,2003,1,"Allegany County, Maryland",3741.02,10.17,230.0,16.04,434.0,35535.99,78300.01,33.1,96.55,2.46,0.48,0.19,0.05,0.03,0.21,0.03,0.0,0.0,0.0,0.0,1,0,0
24001000100,2004,1,"Allegany County, Maryland",3741.02,10.17,233.0,16.04,434.0,35535.99,78300.01,33.1,96.55,2.46,0.48,0.19,0.05,0.03,0.21,0.03,0.0,0.0,0.0,0.0,1,0,0
24001000100,2005,1,"Allegany County, Maryland",3107.02,6.73,236.0,16.48,667.0,39673.99,132099.93,50.0,97.49,0.58,0.87,0.16,0.84,0.0,0.06,0.0,1.0,0.0,0.0,0.42,1,0,0
24001000100,2006,1,"Allegany County, Maryland",3107.02,6.73,238.0,16.48,667.0,39673.99,132099.93,50.0,97.49,0.58,0.87,0.16,0.84,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1,0,0
24001000100,2007,1,"Allegany County, Maryland",3107.02,6.73,241.0,16.48,667.0,39673.99,132099.93,50.0,97.49,0.58,0.87,0.16,0.84,0.0,0.06,0.0,2.0,0.0,0.0,0.83,1,0,0
24001000100,2008,1,"Allegany County, Maryland",3107.02,6.73,244.0,16.48,667.0,39673.99,132099.93,50.0,97.49,0.58,0.87,0.16,0.84,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1,0,0
24001000100,2009,1,"Allegany County, Maryland",3107.02,6.73,246.0,16.48,667.0,39673.99,132099.93,50.0,97.49,0.58,0.87,0.16,0.84,0.0,0.06,0.0,2.0,1.0,0.41,0.81,1,0,0
24001000100,2010,1,"Allegany County, Maryland",3718.0,3.82,249.0,16.35,747.0,45682.0,158800.0,37.4,97.07,0.83,0.83,0.24,0.13,0.0,0.89,0.0,1.0,0.0,0.0,0.4,1,0,0
24001000100,2011,1,"Allegany County, Maryland",3442.0,10.26,254.0,21.58,647.0,37183.0,151000.0,37.8,94.86,2.59,0.99,0.0,1.1,0.0,0.46,0.0,1.0,0.0,0.0,0.39,1,0,0
24001000100,2012,1,"Allegany County, Maryland",3442.0,10.26,258.0,21.58,647.0,37183.0,151000.0,37.8,94.86,2.59,0.99,0.0,1.1,0.0,0.46,0.0,1.0,0.0,0.0,0.39,1,0,0
24001000100,2013,1,"Allegany County, Maryland",3442.0,10.26,263.0,21.58,647.0,37183.0,151000.0,37.8,94.86,2.59,0.99,0.0,1.1,0.0,0.46,0.0,3.0,0.0,0.0,1.14,1,0,0
24001000100,2014,1,"Allegany County, Maryland",3442.0,10.26,267.0,21.58,647.0,37183.0,151000.0,37.8,94.86,2.59,0.99,0.0,1.1,0.0,0.46,0.0,0.0,0.0,0.0,0.0,1,0,0
24001000100,2015,1,"Allegany County, Maryland",3442.0,10.26,272.0,21.58,647.0,37183.0,151000.0,37.8,94.86,2.59,0.99,0.0,1.1,0.0,0.46,0.0,,,,,0,0,0
24001000100,2016,1,"Allegany County, Maryland",3442.0,10.26,276.0,21.58,647.0,37183.0,151000.0,37.8,94.86,2.59,0.99,0.0,1.1,0.0,0.46,0.0,,,,,0,0,0
24001000200,2000,2,"Allegany County, Maryland",4627.06,11.2,185.0,15.03,398.0,34240.93,79499.74,19.2,75.87,19.56,3.67,0.06,0.26,0.02,0.54,0.02,1.0,1.0,0.54,0.54,1,0,0
24001000200,2001,2,"Allegany County, Maryland",4627.06,11.2,189.0,15.03,398.0,34240.93,79499.74,19.2,75.87,19.56,3.67,0.06,0.26,0.02,0.54,0.02,0.0,0.0,0.0,0.0,1,0,0
24001000200,2002,2,"Allegany County, Maryland",4627.06,11.2,193.0,15.03,398.0,34240.93,79499.74,19.2,75.87,19.56,3.67,0.06,0.26,0.02,0.54,0.02,0.0,0.0,0.0,0.0,1,0,0
24001000200,2003,2,"Allegany County, Maryland",4627.06,11.2,197.0,15.03,398.0,34240.93,79499.74,19.2,75.87,19.56,3.67,0.06,0.26,0.02,0.54,0.02,0.0,0.0,0.0,0.0,1,0,0
24001000200,2004,2,"Allegany County, Maryland",4627.06,11.2,201.0,15.03,398.0,34240.93,79499.74,19.2,75.87,19.56,3.67,0.06,0.26,0.02,0.54,0.02,1.0,0.0,0.0,0.5,1,0,0
24001000200,2005,2,"Allegany County, Maryland",4240.89,11.63,205.0,25.63,564.0,38225.11,117800.09,22.2,77.51,16.02,2.75,0.33,1.39,0.0,1.34,0.66,2.0,0.0,0.0,0.98,1,0,0
24001000200,2006,2,"Allegany County, Maryland",4240.89,11.63,208.0,25.63,564.0,38225.11,117800.09,22.2,77.51,16.02,2.75,0.33,1.39,0.0,1.34,0.66,0.0,0.0,0.0,0.0,1,0,0
24001000200,2007,2,"Allegany County, Maryland",4240.89,11.63,212.0,25.63,564.0,38225.11,117800.09,22.2,77.51,16.02,2.75,0.33,1.39,0.0,1.34,0.66,1.0,0.0,0.0,0.47,1,0,0
24001000200,2008,2,"Allegany County, Maryland",4240.89,11.63,216.0,25.63,564.0,38225.11,117800.09,22.2,77.51,16.02,2.75,0.33,1.39,0.0,1.34,0.66,2.0,0.0,0.0,0.93,1,0,0
24001000200,2009,2,"Allegany County, Maryland",4240.89,11.63,220.0,25.63,564.0,38225.11,117800.09,22.2,77.51,16.02,2.75,0.33,1.39,0.0,1.34,0.66,0.0,0.0,0.0,0.0,1,0,0
24001000200,2010,2,"Allegany County, Maryland",4564.0,10.14,224.0,17.45,600.0,42712.0,145500.0,23.9,72.55,18.3,7.98,0.04,0.42,0.02,0.64,0.07,2.0,0.0,0.0,0.89,1,0,0
24001000200,2011,2,"Allegany County, Maryland",4285.0,12.08,230.0,15.12,542.0,43523.0,155600.0,37.5,70.74,19.51,8.03,0.7,0.12,0.72,0.19,0.0,0.0,0.0,0.0,0.0,1,0,0
24001000200,2012,2,"Allegany County, Maryland",4285.0,12.08,235.0,15.12,542.0,43523.0,155600.0,37.5,70.74,19.51,8.03,0.7,0.12,0.72,0.19,0.0,2.0,0.0,0.0,0.85,1,0,0
24001000200,2013,2,"Allegany County, Maryland",4285.0,12.08,241.0,15.12,542.0,43523.0,155600.0,37.5,70.74,19.51,8.03,0.7,0.12,0.72,0.19,0.0,0.0,0.0,0.0,0.0,1,0,0
24001000200,2014,2,"Allegany County, Maryland",4285.0,12.08,246.0,15.12,542.0,43523.0,155600.0,37.5,70.74,19.51,8.03,0.7,0.12,0.72,0.19,0.0,0.0,0.0,0.0,0.0,1,0,0
24001000200,2015,2,"Allegany County, Maryland",4285.0,12.08,252.0,15.12,542.0,43523.0,155600.0,37.5,70.74,19.51,8.03,0.7,0.12,0.72,0.19,0.0,,,,,0,0,0
24001000200,2016,2,"Allegany County, Maryland",4285.0,12.08,257.0,15.12,542.0,43523.0,155600.0,37.5,70.74,19.51,8.03,0.7,0.12,0.72,0.19,0.0,,,,,0,0,0
24001000300,2000,3,"Allegany County, Maryland",2699.0,14.39,207.0,18.21,412.94,32450.66,69935.57,30.66,96.8,2.37,0.35,0.07,0.0,0.0,0.37,0.04,0.0,0.0,0.0,0.0,1,0,0
24001000300,2001,3,"Allegany County, Maryland",2699.0,14.39,212.0,18.21,412.94,32450.66,69935.57,30.66,96.8,2.37,0.35,0.07,0.0,0.0,0.37,0.04,3.0,1.0,0.47,1.42,1,0,0
24001000300,2002,3,"Allegany County, Maryland",2699.0,14.39,217.0,18.21,412.94,32450.66,69935.57,30.66,96.8,2.37,0.35,0.07,0.0,0.0,0.37,0.04,0.0,0.0,0.0,0.0,1,0,0
24001000300,2003,3,"Allegany County, Maryland",2699.0,14.39,221.0,18.21,412.94,32450.66,69935.57,30.66,96.8,2.37,0.35,0.07,0.0,0.0,0.37,0.04,0.0,0.0,0.0,0.0,1,0,0
24001000300,2004,3,"Allegany County, Maryland",2699.0,14.39,226.0,18.21,412.94,32450.66,69935.57,30.66,96.8,2.37,0.35,0.07,0.0,0.0,0.37,0.04,0.0,0.0,0.0,0.0,1,0,0
24001000300,2005,3,"Allegany County, Maryland",2389.17,11.94,231.0,18.05,777.21,34732.99,100862.99,49.9,93.93,2.74,0.55,0.5,0.01,0.0,2.27,0.0,1.0,0.0,0.0,0.43,1,0,0
24001000300,2006,3,"Allegany County, Maryland",2389.17,11.94,236.0,18.05,777.21,34732.99,100862.99,49.9,93.93,2.74,0.55,0.5,0.01,0.0,2.27,0.0,3.0,0.0,0.0,1.27,1,0,0
24001000300,2007,3,"Allegany County, Maryland",2389.17,11.94,241.0,18.05,777.21,34732.99,100862.99,49.9,93.93,2.74,0.55,0.5,0.01,0.0,2.27,0.0,2.0,0.0,0.0,0.83,1,0,0
24001000300,2008,3,"Allegany County, Maryland",2389.17,11.94,245.0,18.05,777.21,34732.99,100862.99,49.9,93.93,2.74,0.55,0.5,0.01,0.0,2.27,0.0,1.0,0.0,0.0,0.41,1,0,0
24001000300,2009,3,"Allegany County, Maryland",2389.17,11.94,250.0,18.05,777.21,34732.99,100862.99,49.9,93.93,2.74,0.55,0.5,0.01,0.0,2.27,0.0,1.0,0.0,0.0,0.4,1,0,0
24001000300,2010,3,"Allegany County, Maryland",2780.0,22.07,255.0,22.51,536.0,31806.0,124700.0,41.9,94.46,2.81,0.97,0.07,0.07,0.04,1.51,0.07,2.0,0.0,0.0,0.78,1,0,0
24001000300,2011,3,"Allegany County, Maryland",2626.0,17.33,260.0,23.05,529.0,37193.0,109900.0,30.6,96.99,1.87,0.0,0.19,0.0,0.0,0.46,0.5,0.0,0.0,0.0,0.0,1,0,0
24001000300,2012,3,"Allegany County, Maryland",2626.0,17.33,265.0,23.05,529.0,37193.0,109900.0,30.6,96.99,1.87,0.0,0.19,0.0,0.0,0.46,0.5,3.0,0.0,0.0,1.13,1,0,0
24001000300,2013,3,"Allegany County, Maryland",2626.0,17.33,270.0,23.05,529.0,37193.0,109900.0,30.6,96.99,1.87,0.0,0.19,0.0,0.0,0.46,0.5,0.0,0.0,0.0,0.0,1,0,0
24001000300,2014,3,"Allegany County, Maryland",2626.0,17.33,274.0,23.05,529.0,37193.0,109900.0,30.6,96.99,1.87,0.0,0.19,0.0,0.0,0.46,0.5,4.0,0.0,0.0,1.46,1,0,0
24001000300,2015,3,"Allegany County, Maryland",2626.0,17.33,279.0,23.05,529.0,37193.0,109900.0,30.6,96.99,1.87,0.0,0.19,0.0,0.0,0.46,0.5,,,,,0,0,0
24001000300,2016,3,"Allegany County, Maryland",2626.0,17.33,284.0,23.05,529.0,37193.0,109900.0,30.6,96.99,1.87,0.0,0.19,0.0,0.0,0.46,0.5,,,,,0,0,0
